State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: -82.45599999999999, Episode: 1, Step: 1
State: [[ 253.          123.         6939.77817178]], Action: 3, Reward: -82.45599999999999, Score: -164.91199999999998, Episode: 1, Step: 2
State: [[ 232.          122.         6939.77817178]], Action: 6, Reward: -65.0, Score: -229.91199999999998, Episode: 1, Step: 3
State: [[ 223.5         121.5        7088.21842466]], Action: 5, Reward: 69.0, Score: -160.91199999999998, Episode: 1, Step: 4
State: [[ 216.          121.         6939.77817178]], Action: 0, Reward: -59.0, Score: -219.91199999999998, Episode: 1, Step: 5
State: [[ 222.          122.         6939.77817178]], Action: 3, Reward: -82.45599999999999, Score: -302.36799999999994, Episode: 1, Step: 6
State: [[ 226.5         121.5        7088.21842466]], Action: 4, Reward: 98.92, Score: -203.44799999999992, Episode: 1, Step: 7
State: [[ 211.          121.         7542.96396127]], Action: 3, Reward: -82.45599999999999, Score: -285.9039999999999, Episode: 1, Step: 8
State: [[ 221.          121.         7853.98163397]], Action: 4, Reward: 98.92, Score: -186.98399999999987, Episode: 1, Step: 9
State: [[ 216.          121.         8171.28249199]], Action: 2, Reward: -146.84, Score: -333.82399999999984, Episode: 1, Step: 10
State: [[ 225.5         120.5        8659.01475146]], Action: 5, Reward: 69.0, Score: -264.82399999999984, Episode: 1, Step: 11
State: [[ 221.5         120.5        8659.01475146]], Action: 6, Reward: -65.0, Score: -329.82399999999984, Episode: 1, Step: 12
State: [[ 227.5         120.5        8659.01475146]], Action: 1, Reward: -64.92, Score: -394.74399999999986, Episode: 1, Step: 13
State: [[ 248.          120.         8494.86653531]], Action: 5, Reward: 69.0, Score: -325.74399999999986, Episode: 1, Step: 14
State: [[ 237.          121.         7853.98163397]], Action: 0, Reward: -59.0, Score: -384.74399999999986, Episode: 1, Step: 15
State: [[ 251.          121.         7542.96396127]], Action: 5, Reward: 69.0, Score: -315.74399999999986, Episode: 1, Step: 16
State: [[ 263.5         121.5        7088.21842466]], Action: 2, Reward: -146.84, Score: -462.58399999999983, Episode: 1, Step: 17
State: [[-10 -10 -10]], Action: 0, Reward: -59.0, Score: -521.5839999999998, Episode: 1, Step: 18
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -452.58399999999983, Episode: 1, Step: 19
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -353.6639999999998, Episode: 1, Step: 20
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -284.6639999999998, Episode: 1, Step: 21
State: [[-10 -10 -10]], Action: 3, Reward: -82.45599999999999, Score: -367.1199999999998, Episode: 1, Step: 22
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -298.1199999999998, Episode: 1, Step: 23
State: [[-10 -10 -10]], Action: 6, Reward: -65.0, Score: -363.1199999999998, Episode: 1, Step: 24
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: -509.9599999999998, Episode: 1, Step: 25
State: [[-10 -10 -10]], Action: 0, Reward: -59.0, Score: -568.9599999999998, Episode: 1, Step: 26
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -499.9599999999998, Episode: 1, Step: 27
State: [[-10 -10 -10]], Action: 1, Reward: -64.92, Score: -564.8799999999998, Episode: 1, Step: 28
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: -711.7199999999998, Episode: 1, Step: 29
State: [[-10 -10 -10]], Action: 2, Reward: -146.84, Score: -858.5599999999998, Episode: 1, Step: 30
State: [[-10 -10 -10]], Action: 5, Reward: 69.0, Score: -789.5599999999998, Episode: 1, Step: 31
State: [[-10 -10 -10]], Action: 4, Reward: 98.92, Score: -690.6399999999999, Episode: 1, Step: 32
