State: [[ 0.60972727  1.          0.63196874  1.          0.25        0.75
  -0.25      ]], Action: 1, Reward: -5, Score: -5, Episode: 1, Step: 2
State: [[ 0.6102901   1.          0.64281359  1.          0.25        0.75
  -0.5       ]], Action: 0, Reward: -50, Score: -55, Episode: 1, Step: 3
State: [[ 0.61287036  1.          0.70722041  1.          0.25        0.75
  -0.75      ]], Action: 3, Reward: 20, Score: -35, Episode: 1, Step: 4
State: [[ 0.6110927  1.         0.6946435  1.         0.25       0.75
  -1.       ]], Action: 0, Reward: -50, Score: -85, Episode: 1, Step: 5
State: [[ 0.61339191  1.          0.71372621  1.          0.25        0.75
  -1.25      ]], Action: 0, Reward: -50, Score: -135, Episode: 1, Step: 6
State: [[ 0.61725393  1.          0.73432832  1.          0.25        0.75
  -1.5       ]], Action: 3, Reward: 20, Score: -115, Episode: 1, Step: 7
State: [[ 0.61712271  1.          0.73432377  1.          0.25        0.75
  -1.75      ]], Action: 0, Reward: -50, Score: -165, Episode: 1, Step: 8
State: [[ 0.62133958  1.          0.75919746  1.          0.25        0.75
  -2.        ]], Action: 0, Reward: -50, Score: -215, Episode: 1, Step: 9
State: [[ 0.62721275  1.          0.79980356  1.          0.25        0.75
  -2.25      ]], Action: 4, Reward: -5, Score: -220, Episode: 1, Step: 10
State: [[ 0.6276293   1.          0.80314788  1.          0.25        0.75
  -2.5       ]], Action: 2, Reward: -15, Score: -235, Episode: 1, Step: 11
State: [[ 0.62882881  1.          0.79979278  1.          0.25        0.75
  -2.75      ]], Action: 4, Reward: -5, Score: -240, Episode: 1, Step: 12
State: [[ 0.62649719  1.          0.76871433  1.          0.25        0.75
  -3.        ]], Action: 3, Reward: 20, Score: -220, Episode: 1, Step: 13
State: [[ 0.62552531  1.          0.75537529  1.          0.25        0.75
  -3.25      ]], Action: 2, Reward: -15, Score: -235, Episode: 1, Step: 14
State: [[ 0.63159426  1.          0.76065221  1.          0.25        0.75
  -3.5       ]], Action: 0, Reward: -50, Score: -285, Episode: 1, Step: 15
State: [[ 0.63603396  1.          0.78491556  1.          0.25        0.75
  -3.75      ]], Action: 4, Reward: -5, Score: -290, Episode: 1, Step: 16
State: [[ 0.63587129  1.          0.78140596  1.          0.25        0.75
  -4.        ]], Action: 1, Reward: -5, Score: -295, Episode: 1, Step: 17
State: [[ 0.64185324  1.          0.81279055  1.          0.25        0.75
  -4.25      ]], Action: 0, Reward: -50, Score: -345, Episode: 1, Step: 18
State: [[ 0.650357    1.          0.87465394  1.          0.25        0.75
  -4.5       ]], Action: 1, Reward: -5, Score: -350, Episode: 1, Step: 19
State: [[ 0.74304809  1.          1.          1.          0.25        0.75
  -4.75      ]], Action: 0, Reward: -50, Score: -400, Episode: 1, Step: 20
State: [[ 0.82968011  1.          1.          1.          0.25        0.75
  -5.        ]], Action: 4, Reward: -5, Score: -405, Episode: 1, Step: 21
State: [[ 0.73631144  1.          1.          1.          0.25        0.75
  -5.25      ]], Action: 0, Reward: -50, Score: -455, Episode: 1, Step: 22
State: [[ 0.74738754  1.          1.          1.          0.25        0.75
  -5.5       ]], Action: 4, Reward: -5, Score: -460, Episode: 1, Step: 23
State: [[ 0.74197276  1.          0.99392682  1.          0.25        0.75
  -5.75      ]], Action: 0, Reward: -50, Score: -510, Episode: 1, Step: 24
State: [[ 0.86197694  1.          1.          1.          0.25        0.75
  -6.        ]], Action: 0, Reward: -50, Score: -560, Episode: 1, Step: 25
State: [[ 1.    1.    1.    1.    0.5   0.5  -6.25]], Action: 0, Reward: -50, Score: -610, Episode: 1, Step: 26
State: [[ 1.    1.    1.    1.    0.75  0.25 -6.5 ]], Action: 1, Reward: -5, Score: -615, Episode: 1, Step: 27
State: [[ 1.    1.    1.    1.    1.    0.   -6.75]], Action: 0, Reward: -50, Score: -665, Episode: 1, Step: 28
State: [[ 1.    1.    1.    1.    1.25 -0.25 -7.  ]], Action: 1, Reward: -5, Score: -670, Episode: 1, Step: 29
State: [[ 1.    1.    1.    1.    1.5  -0.5  -7.25]], Action: 2, Reward: -3, Score: -673, Episode: 1, Step: 30
State: [[ 1.    1.    1.    1.    1.75 -0.75 -7.5 ]], Action: 0, Reward: -7.5, Score: -680.5, Episode: 1, Step: 31
State: [[ 1.    1.    1.    1.    2.   -1.   -7.75]], Action: 2, Reward: -3, Score: -683.5, Episode: 1, Step: 32
State: [[ 1.    1.    1.    1.    2.25 -1.25 -8.  ]], Action: 1, Reward: -5, Score: -688.5, Episode: 1, Step: 33
State: [[ 1.    1.    1.    1.    2.5  -1.5  -8.25]], Action: 0, Reward: -7.5, Score: -696.0, Episode: 1, Step: 34
State: [[ 1.    1.    1.    1.    2.75 -1.75 -8.5 ]], Action: 4, Reward: -7.5, Score: -703.5, Episode: 1, Step: 35
State: [[ 1.    1.    1.    1.    3.   -2.   -8.75]], Action: 3, Reward: -5, Score: -708.5, Episode: 1, Step: 36
State: [[ 1.    1.    1.    1.    3.25 -2.25 -9.  ]], Action: 3, Reward: -6.25, Score: -714.75, Episode: 1, Step: 37
State: [[ 1.    1.    1.    1.    3.5  -2.5  -9.25]], Action: 4, Reward: -7.5, Score: -722.25, Episode: 1, Step: 38
State: [[ 1.    1.    1.    1.    3.75 -2.75 -9.5 ]], Action: 3, Reward: -5, Score: -727.25, Episode: 1, Step: 39
State: [[ 1.    1.    1.    1.    4.   -3.   -9.75]], Action: 2, Reward: -3, Score: -730.25, Episode: 1, Step: 40
State: [[  1.     1.     1.     1.     4.25  -3.25 -10.  ]], Action: 0, Reward: -7.5, Score: -737.75, Episode: 1, Step: 41
State: [[  1.     1.     1.     1.     4.5   -3.5  -10.25]], Action: 0, Reward: -9.375, Score: -747.125, Episode: 1, Step: 42
State: [[  1.     1.     1.     1.     4.75  -3.75 -10.5 ]], Action: 0, Reward: -11.25, Score: -758.375, Episode: 1, Step: 43
State: [[  1.     1.     1.     1.     5.    -4.   -10.75]], Action: 2, Reward: -3, Score: -761.375, Episode: 1, Step: 44
State: [[  1.     1.     1.     1.     5.25  -4.25 -11.  ]], Action: 0, Reward: -7.5, Score: -768.875, Episode: 1, Step: 45
State: [[  1.     1.     1.     1.     5.5   -4.5  -11.25]], Action: 4, Reward: -7.5, Score: -776.375, Episode: 1, Step: 46
State: [[  1.     1.     1.     1.     5.75  -4.75 -11.5 ]], Action: 0, Reward: -7.5, Score: -783.875, Episode: 1, Step: 47
State: [[  1.     1.     1.     1.     6.    -5.   -11.75]], Action: 0, Reward: -9.375, Score: -793.25, Episode: 1, Step: 48
