State, Action, Reward, Score, Episode, Step
State: [[ 0.4133487   1.          0.48077657  1.          0.25        0.75  -0.25      ]], Action: 0, Reward: -7.5, Score: -7.5, Episode: 1, Step: 2
State: [[ 0.41869822  1.          0.50859816  1.          0.25        0.75  -0.5       ]], Action: 1, Reward: -5, Score: -12.5, Episode: 1, Step: 3
State: [[ 0.42192688  1.          0.53044251  1.          0.25        0.75  -0.75      ]], Action: 1, Reward: -5, Score: -17.5, Episode: 1, Step: 4
State: [[ 0.4300422   1.          0.56284896  1.          0.25        0.75 -1.        ]], Action: 2, Reward: 30, Score: 12.5, Episode: 1, Step: 5
State: [[ 0.43358899  1.          0.571703    1.          0.25        0.75  -1.25      ]], Action: 3, Reward: -5, Score: 7.5, Episode: 1, Step: 6
State: [[ 0.43140184  1.          0.53636241  1.          0.25        0.75  -1.5       ]], Action: 2, Reward: 30, Score: 37.5, Episode: 1, Step: 7
State: [[ 0.43398456  1.          0.54135559  1.          0.25        0.75  -1.75      ]], Action: 1, Reward: -5, Score: 32.5, Episode: 1, Step: 8
State: [[ 0.44182634  1.          0.57504965  1.          0.25        0.75  -2.        ]], Action: 0, Reward: -50, Score: -17.5, Episode: 1, Step: 9
State: [[ 0.45083655  1.          0.62653007  1.          0.25        0.75  -2.25      ]], Action: 1, Reward: -5, Score: -22.5, Episode: 1, Step: 10
State: [[ 0.46159798  1.          0.69077903  1.          0.25        0.75  -2.5       ]], Action: 0, Reward: -50, Score: -72.5, Episode: 1, Step: 11
State: [[ 0.52531311  1.          1.          1.          0.25        0.75  -2.75      ]], Action: 3, Reward: 10, Score: -62.5, Episode: 1, Step: 12
State: [[ 0.52942647  1.          1.          1.          0.25        0.75  -3.        ]], Action: 4, Reward: -5, Score: -67.5, Episode: 1, Step: 13
State: [[ 0.51070839  1.          1.          1.          0.25        0.75  -3.25      ]], Action: 3, Reward: -5, Score: -72.5, Episode: 1, Step: 14
State: [[ 0.5076536  1.         1.         1.         0.25       0.75  -3.5      ]], Action: 4, Reward: -5, Score: -77.5, Episode: 1, Step: 15
State: [[ 0.49921264  1.          0.73036675  1.          0.25        0.75  -3.75      ]], Action: 2, Reward: -15, Score: -92.5, Episode: 1, Step: 16
State: [[ 0.50366784  1.          0.72001137  1.          0.25        0.75  -4.        ]], Action: 3, Reward: 10, Score: -82.5, Episode: 1, Step: 17
State: [[ 0.50248648  1.          0.67904262  1.          0.25        0.75  -4.25      ]], Action: 3, Reward: 10, Score: -72.5, Episode: 1, Step: 18
State: [[ 0.49923755  1.          0.62166945  1.          0.25        0.75  -4.5       ]], Action: 3, Reward: 10, Score: -62.5, Episode: 1, Step: 19
State: [[ 0.49617204  1.          0.58968151  1.          0.25        0.75  -4.75      ]], Action: 3, Reward: 10, Score: -52.5, Episode: 1, Step: 20
State: [[ 0.49373423  1.          0.57060538  1.          0.25        0.75  -5.        ]], Action: 3, Reward: -5, Score: -57.5, Episode: 1, Step: 21
State: [[ 0.49098649  1.          0.41669737  1.          0.25        0.75 -5.25      ]], Action: 3, Reward: -5, Score: -62.5, Episode: 1, Step: 22
State: [[ 0.48712372  1.          0.37160354  1.          0.25        0.75  -5.5       ]], Action: 4, Reward: -5, Score: -67.5, Episode: 1, Step: 23
State: [[ 0.47613642  1.          0.28900364  1.          0.25        0.75  -5.75      ]], Action: 3, Reward: -5, Score: -72.5, Episode: 1, Step: 24
State: [[ 0.46751466  1.          0.25058738  1.          0.25        0.75  -6.        ]], Action: 3, Reward: -5, Score: -77.5, Episode: 1, Step: 25
State: [[0.46304306 1.         0.21700998 0.65496001 0.25       0.75  0.75      ]], Action: 3, Reward: -5, Score: -82.5, Episode: 1, Step: 26
State: [[0.46197286 1.         0.20548488 0.61749805 0.25       0.75  0.75      ]], Action: 1, Reward: -10, Score: -92.5, Episode: 1, Step: 27
State: [[0.45453719 1.         0.204598   0.63217147 0.25       0.75 0.75      ]], Action: 0, Reward: 10, Score: -82.5, Episode: 1, Step: 28
State: [[0.43312837 1.         0.22518791 1.         0.25       0.75  0.5       ]], Action: 2, Reward: -100, Score: -182.5, Episode: 1, Step: 29
State: [[0.42426165 1.         0.22080581 1.         0.25       0.75  0.25      ]], Action: 1, Reward: -10, Score: -192.5, Episode: 1, Step: 30
State: [[0.42081008 1.         0.23082711 1.         0.25       0.75  0.        ]], Action: 4, Reward: -50, Score: -242.5, Episode: 1, Step: 31
State: [[ 0.41503385  1.          0.21274764  1.          0.25        0.75  -0.25      ]], Action: 0, Reward: -50, Score: -292.5, Episode: 1, Step: 32
